open_time_ms,ema,rsi,atr,vwap
1767225600000,,,,63993.7336293338
1767225660000,,,,64000.3802871906
1767225720000,,,,64002.9191919548
1767225780000,,,,64010.0381130593
1767225840000,,,,64013.0111654372
1767225900000,,,,64013.5158341188
1767225960000,,,,64014.2281640044
1767226020000,,,,64015.5866566065
1767226080000,,,,64016.3923602928
1767226140000,,,,64016.2181200158
1767226200000,,,,64016.2528512578
1767226260000,,,,64017.2810949582
1767226320000,,,,64018.4242180385
1767226380000,,,,64018.1577655728
1767226440000,,55.0436699902,15.6641843885,64017.5275128730
1767226500000,,52.8338031094,15.1712077614,64016.4511673387
1767226560000,,59.1435838064,15.7856054419,64016.3698314108
1767226620000,,54.0875216650,16.2015787269,64015.8889277172
1767226680000,,50.4647141864,16.8961276655,64014.8985809142
1767226740000,,42.8615099699,18.3546902729,64013.5973679477
1767226800000,,46.4739194839,18.0270579019,64012.8735609728
1767226860000,,45.8857444733,16.9446271046,64011.3145756887
1767226920000,,37.4078659195,18.0111847494,64008.6179363926
1767226980000,,34.6543598803,17.8058583571,64006.9873545051
1767227040000,,40.0061081945,17.9661659535,64005.9035219780
1767227100000,,41.5829901877,18.2399940064,64004.1413738788
1767227160000,,36.4177614236,18.9234867456,64001.3900941510
1767227220000,,30.5709607980,20.2183925975,63998.4176788941
1767227280000,,30.5005426392,19.0040593301,63995.9656266891
1767227340000,,28.6851919676,18.6922883311,63991.7556939788
1767227400000,,31.6481399249,18.4076421808,63989.0889992835
1767227460000,,34.9125884251,18.8388371643,63987.4294999840
1767227520000,,38.5404278887,18.2088835735,63985.6475184073
1767227580000,,37.2418155927,17.7469696860,63983.4542590633
1767227640000,,41.7849282384,17.9635660833,63982.2331636274
1767227700000,,41.7771560372,17.3834577517,63980.4836671033
1767227760000,,45.4297938155,17.1130151498,63978.9646761272
1767227820000,,42.6225776085,16.6980542803,63977.6010887219
1767227880000,,40.2765696854,17.4960509326,63975.9438896676
1767227940000,,39.5269156459,16.6897174135,63974.9724217254
1767228000000,,47.1682027263,17.4425511124,63973.8139842264
1767228060000,,45.6517380514,17.7797067020,63973.4453331905
1767228120000,,42.2763901516,17.8691965151,63971.9525286083
1767228180000,,45.2032954218,17.3422974120,63971.3329515056
1767228240000,,36.9834081139,18.3806638100,63970.9363016360
1767228300000,,34.8542965822,18.4183546158,63969.8461176498
1767228360000,,31.3989483112,18.3204312239,63966.9106914911
1767228420000,,29.1728400919,18.3575087404,63963.3802957427
1767228480000,,26.6906638829,18.8469007116,63961.0282561393
1767228540000,,36.9129891959,19.2285911702,63959.1478469665
1767228600000,,34.8984913560,18.7383812407,63956.9916892778
1767228660000,,38.1339515625,19.9491992961,63955.9921559569
1767228720000,,31.2825501023,20.9007723717,63954.3574285288
1767228780000,,29.9873119348,21.4726484458,63951.8603337888
1767228840000,,27.6883199995,21.2407470240,63949.6075818601
1767228900000,,30.2764405049,21.0299252933,63948.6607335153
1767228960000,,32.6528556854,21.2077877301,63946.7995582317
1767229020000,,34.4368082745,20.1324522375,63945.4733506110
1767229080000,,28.6845842486,21.3430643414,63942.6590766760
1767229140000,,26.7030755025,20.7990399222,63941.1977863464
1767229200000,,31.3750754976,21.2376215759,63938.6707247532
1767229260000,,29.5171377376,20.6374926689,63936.9932526139
1767229320000,,29.4667167540,19.9410741477,63934.9233683515
1767229380000,,26.6118448924,19.7944149427,63932.7267278512
1767229440000,,31.9060314945,19.2297370785,63930.9987030646
1767229500000,,32.8006073411,18.1738374067,63928.7980472051
1767229560000,,30.8615886154,17.9817115122,63926.7526604316
1767229620000,,29.8261337562,17.2399989544,63924.0736028235
1767229680000,,25.8420691781,17.9069921629,63922.7917049902
1767229740000,,33.5582563849,18.3537527108,63921.9378536893
1767229800000,,38.9558107687,18.4838125768,63920.3354902685
1767229860000,,42.8837097421,18.0357191420,63919.3501171166
1767229920000,,45.3469141071,17.5418592535,63917.7192892317
1767229980000,,47.4095932788,16.9403879437,63916.6971815175
1767230040000,,46.8213618170,15.9972678077,63916.4642647144
1767230100000,,47.3437216562,15.3472168357,63915.7065509898
1767230160000,,47.8299857188,16.0053906484,63914.4051528093
1767230220000,,47.7915327636,16.6743404999,63913.7639489589
1767230280000,,50.3081746779,16.4868358794,63912.8533971982
1767230340000,,49.2408013856,17.0280883739,63912.0792257018
1767230400000,,42.2781252703,16.9733538257,63911.0599596815
1767230460000,,38.6571378791,16.9885943842,63909.8826127916
1767230520000,,41.9480304616,16.3330040590,63909.2196018303
1767230580000,,41.5673199400,15.5916785343,63908.0785878517
1767230640000,,38.5175360908,15.4997644120,63906.9289017169
1767230700000,,43.5042639481,15.5266265559,63905.5734142095
1767230760000,,45.8101505639,14.8019147026,63903.9619043399
1767230820000,,45.0728552097,15.1424699268,63901.5733998398
1767230880000,,47.9107253283,14.4952231776,63901.1940666066
1767230940000,,43.7190155612,14.3400867994,63899.8569461323
1767231000000,,47.2225575507,14.3574070016,63899.1285544102
1767231060000,,51.5373342990,14.1031738042,63898.3444666895
1767231120000,,48.0595827725,14.1498314520,63897.2557324056
1767231180000,,54.6836235180,14.3638946349,63896.6882052650
1767231240000,,52.2943911834,14.2645043465,63895.9224386479
1767231300000,,45.2043703525,14.7581370319,63894.9707837657
1767231360000,,41.3174595419,14.5430300316,63894.1415933274
1767231420000,,43.8013386828,14.8725723006,63892.9022430398
1767231480000,,40.6066707747,14.8468709229,63891.8246223463
1767231540000,,40.8070541973,15.5822248320,63891.3337980461
1767231600000,,49.0538324425,15.6829225226,63890.5151066394
1767231660000,,47.6242536007,16.2181785157,63889.9345137294
1767231720000,,45.2832438027,16.0532301604,63889.3768833856
1767231780000,,38.8307088080,16.6013094244,63888.4660797067
1767231840000,,34.3882833677,17.0671901237,63887.3503096279
1767231900000,,39.2851445984,17.5749267430,63886.7043743700
1767231960000,,31.3011486674,18.8892684031,63885.5048832105
1767232020000,,33.7907553712,18.8197680168,63884.6033188532
1767232080000,,31.5592973022,18.7304021316,63884.0070275814
1767232140000,,28.5268692194,18.3362645603,63883.1035931443
1767232200000,,23.9362090522,18.7536966507,63881.3778489694
1767232260000,,21.5515381576,18.5028328188,63880.0367555496
1767232320000,,30.2224121948,18.6291382245,63879.0373687744
1767232380000,,36.1655603952,18.3662640699,63876.9450528547
1767232440000,,30.0699391774,20.0911770444,63875.6161306073
1767232500000,,27.3481141969,20.2806180680,63874.4107073540
1767232560000,,33.0737772170,20.4850467604,63872.9000193640
1767232620000,,32.0393839334,19.6281055029,63871.7446534636
1767232680000,,24.2586704853,22.3778963988,63869.4255236956
1767232740000,,22.7907600872,22.1422741347,63868.0028337700
1767232800000,,25.0676417016,21.7684206962,63865.9998230560
1767232860000,,24.2983272962,21.1259517676,63864.9025416205
1767232920000,,23.6148151522,20.0442511104,63864.1411792591
1767232980000,,22.1652294453,21.0322821196,63863.1164507022
1767233040000,,23.5709397550,20.0800939373,63862.1027518519
1767233100000,,31.8541827003,21.4773770808,63860.2999890436
1767233160000,,31.4818296633,21.2118910458,63858.8634576803
1767233220000,,37.0076958774,20.8282065124,63857.9441808745
1767233280000,,38.2542387396,20.2279679553,63855.8476333504
1767233340000,,38.4703501104,20.7253182008,63854.9499981737
1767233400000,,39.7661779957,21.1616889511,63854.0523664884
1767233460000,,34.7592470328,21.7440499446,63852.6803206518
1767233520000,,40.4657504908,21.4812834058,63851.3046826542
1767233580000,,37.4460127529,20.8290737726,63849.7498012147
1767233640000,,42.5036319410,20.3746153446,63848.6593243801
1767233700000,,39.3480160583,20.4625188489,63847.5351962930
1767233760000,,44.0082383834,19.9274457881,63846.8073351345
1767233820000,,38.2116203405,20.7531065541,63844.4049128407
1767233880000,,40.1306473549,19.9257841654,63842.7979809317
1767233940000,,42.9180141631,19.3741599716,63841.4602995657
1767234000000,,35.8845764982,20.7433726893,63839.7268029344
1767234060000,,31.7737142714,21.4314480986,63838.4970508809
1767234120000,,35.7732393755,20.8048739404,63836.8850438620
1767234180000,,42.6899422741,20.7919309607,63834.8539716173
1767234240000,,38.7931636866,20.5764159172,63833.6641828000
1767234300000,,42.3308211662,20.0763281893,63832.0396203190
1767234360000,,43.0063024336,18.9790921315,63830.7704838335
1767234420000,,45.2779135275,18.2661568665,63829.9574041690
1767234480000,,49.7777953135,18.7844648854,63828.2551817160
1767234540000,,48.5238456075,17.9130665922,63826.2421978655
1767234600000,,45.7346356109,17.8748407927,63825.5583868211
1767234660000,,48.4152974694,17.7016471068,63824.0189429367
1767234720000,,46.2470007913,16.9991809093,63823.4193746143
1767234780000,,57.5638522904,19.8159777439,63822.5189405351
1767234840000,,56.9910226507,19.7894170422,63821.4348289517
1767234900000,,52.1809357841,19.8668683139,63820.2776315927
1767234960000,,51.9915621032,19.0208407744,63819.5113676241
1767235020000,,48.2392554861,18.8805831871,63817.5963960157
1767235080000,,53.6866034954,19.1386832392,63816.6917503015
1767235140000,,49.3101122329,18.8626767960,63816.2377254118
1767235200000,,48.4946795246,19.3703499034,63816.0496256076
1767235260000,,53.5835247911,19.6595807431,63814.9493060822
1767235320000,,58.9741109135,19.9522555957,63813.9625409342
1767235380000,,56.2203188855,19.3226290685,63813.2022630554
1767235440000,,47.2339409262,20.3830015115,63811.8920141941
1767235500000,,44.3472491877,20.8031453663,63811.0479900849
1767235560000,,46.1222007453,19.8635259864,63809.8944027805
1767235620000,,46.6690936991,18.7354026176,63809.1477080550
1767235680000,,45.9983967819,17.9094143803,63808.6453671873
1767235740000,,42.5604264212,17.5475357191,63807.2945391683
1767235800000,,37.3980256225,17.8892810856,63805.9386438318
1767235860000,,37.1173404823,17.8852035584,63804.7718062872
1767235920000,,31.6173894170,19.1906802989,63803.0215291604
1767235980000,,33.0594150630,19.7707265959,63801.7370734780
1767236040000,,33.8404749130,19.1584219854,63800.0382219644
1767236100000,,35.2131660684,18.7165346540,63798.7185530587
1767236160000,,35.2703218712,18.4223247546,63798.0865069100
1767236220000,,30.9443200187,18.9030705073,63796.2046972054
1767236280000,,33.0925401316,18.4868704788,63794.7276599335
1767236340000,,31.3895797204,19.5169626131,63793.4858898153
1767236400000,,43.1077107870,20.7564576605,63792.3665318032
1767236460000,,46.4321825371,20.2142489575,63791.5447413190
1767236520000,,39.0887689777,20.6488218051,63790.9064593666
1767236580000,,34.1792393494,20.8873795887,63789.7125863777
1767236640000,,38.1239172620,20.3172891122,63789.1449833794
1767236700000,,37.2540801985,19.3715170212,63787.9033263786
1767236760000,,38.8842535642,20.4143565931,63786.5768222709
1767236820000,,46.2875126250,20.6048928577,63785.6741141217
1767236880000,,46.3763904520,21.5591943929,63784.6054770838
1767236940000,,51.4638092950,21.6719977180,63784.0374093426
1767237000000,,54.7097550177,21.2577583239,63783.8770303086
1767237060000,,59.1804497664,21.0505395237,63782.7649091558
1767237120000,,56.2939755067,21.6845683882,63781.7140135319
1767237180000,,54.2772218593,20.6673035596,63780.3764553061
1767237240000,,55.2733499312,20.7981235029,63779.4771804376
1767237300000,,47.7687617220,21.6660667699,63778.7337386508
1767237360000,,47.0171540464,20.6082861398,63778.2108038233
1767237420000,,47.0438014368,20.9148780305,63777.6710169983
1767237480000,,48.7526592608,20.6048145161,63776.7550418255
1767237540000,63770.8772642990,46.0235663190,20.0998582997,63775.4072206021
1767237600000,63769.3160998715,52.8135018831,20.3269408599,63774.4803788880
1767237660000,63767.6900446341,49.4082323192,19.6386710851,63773.7073427357
1767237720000,63766.1488627208,52.2407678443,18.8292676122,63773.0786280058
1767237780000,63764.5206091332,47.9323204007,18.9736116744,63771.8178464457
1767237840000,63763.0836523908,54.7968432671,19.0707457012,63771.2810223199
1767237900000,63761.6242014425,53.2094029448,18.4299288992,63770.7804925194
1767237960000,63760.1772641615,53.1189477918,19.7520221910,63770.0144843090
1767238020000,63758.7873304786,54.8717658638,18.7950571385,63768.8480559784
1767238080000,63757.4459836863,56.3069326508,19.4238619852,63767.9600148263
1767238140000,63756.3312070411,63.8931404188,19.9796282514,63767.2745966647
1767238200000,63755.1718910731,60.9211209907,19.1597099253,63766.5362052385
1767238260000,63754.1239127684,64.1434430426,18.6201988910,63766.3147754655
1767238320000,63753.2457178229,68.5961313143,18.9494285013,63766.0312692507
1767238380000,63752.5517444905,72.6272461431,19.2890669593,63765.7337633404
1767238440000,63752.1206208982,77.2201511789,19.8764719866,63765.6475482056
1767238500000,63751.8723572404,79.7705115855,19.9184114807,63765.4664272995
1767238560000,63751.8654102039,82.5798107964,20.4035688339,63765.4213811498
1767238620000,63751.9883045514,83.8889474336,20.9870271553,63765.4178933199
1767238680000,63752.3475550490,85.9679876810,21.3558756942,63765.4900124216
1767238740000,63752.7445620872,86.2992244432,20.2874515020,63765.5989232956
1767238800000,63753.2396130195,87.1079883325,19.6756140968,63765.7854518678
1767238860000,63753.7236394878,86.7781318134,18.9973157369,63765.8815801111
1767238920000,63754.4057503000,88.3577202800,19.8685370446,63766.1527822533
1767238980000,63755.1431726265,88.7987829133,19.2283349195,63766.3876871015
1767239040000,63756.1083317703,90.2973019707,20.3510000699,63766.7942935369
1767239100000,63757.1480213567,90.7730805032,19.7072963118,63767.2934181609
1767239160000,63758.1417646283,88.7890481320,19.1472497439,63767.4615478018
1767239220000,63759.0108178468,82.5251001603,19.9113617354,63767.6590346531
1767239280000,63760.0416573262,84.2963486543,20.6738217232,63768.2241156843
1767239340000,63760.9758060146,79.8746768733,20.4375596384,63768.4875852627
1767239400000,63762.0371079298,81.5224301911,20.0945317934,63769.1240310420
1767239460000,63763.0752081402,80.8618766154,19.9798762000,63769.4804101628
1767239520000,63763.9733669179,74.2215006737,19.6632877828,63769.9599035303
1767239580000,63764.5773471081,62.1294825049,20.9601287582,63770.3698235769
1767239640000,63765.1138905773,59.8674914152,20.0315627716,63770.4538146602
1767239700000,63765.7625810029,62.6670890163,19.5647218149,63770.7148291537
1767239760000,63766.5819144124,66.4647268909,20.0690023670,63771.0868092358
1767239820000,63767.1899629315,59.0454871785,20.7285790678,63771.3807853114
1767239880000,63767.8483691432,60.3684717846,19.9813269899,63771.6410979183
1767239940000,63768.7285511759,65.2603982540,20.8210850228,63771.8712696047
1767240000000,63769.4327635884,59.4709457550,21.4630585630,63771.9037500387
1767240060000,63770.1621220302,60.2020674784,20.2704885708,63772.0887115352
1767240120000,63770.7861596890,56.8345888109,20.0376769274,63772.3460661409
1767240180000,63771.3480970894,54.9480555823,19.9043793564,63772.7305677959
1767240240000,63771.9713986417,56.7981101795,20.1058401219,63773.0522382329
1767240300000,63772.5930746172,56.9283031885,19.2094392310,63773.3617490641
1767240360000,63773.1819390767,55.8733137071,20.3138392601,63773.6045035060
1767240420000,63773.7372110362,54.7354975855,19.1911339848,63773.7339370057
1767240480000,63774.2725886346,54.1205334569,18.0781812236,63773.9093729595
1767240540000,63774.9054876661,57.7771281526,18.0686207301,63774.1405973851
1767240600000,63775.6547680617,61.6984376673,18.5991086283,63774.5063115801
1767240660000,63776.4174147125,62.3377635240,18.2908377233,63774.7891341637
1767240720000,63777.1882907308,62.8451474599,17.3006618424,63774.8158884798
1767240780000,63777.9128894683,60.6958796574,16.4138737751,63775.1706874413
1767240840000,63778.7943999771,66.0166134390,16.8270659694,63775.5457818510
1767240900000,63779.6446068143,64.7212053979,16.2756275662,63775.7739958260
1767240960000,63780.4900012181,64.8414696739,15.4438982679,63776.1206785358
1767241020000,63781.4404340374,68.4448320814,16.2424272068,63776.3024688792
1767241080000,63782.4249702334,69.7277334275,15.8038815437,63776.5026723494
1767241140000,63783.3104818117,63.9889153619,15.6039887689,63776.9483815723
1767241200000,63784.1461868564,61.4850846969,15.3515239187,63777.3918200998
1767241260000,63784.9233165329,58.4646865866,14.9467317849,63778.0487000706
1767241320000,63785.7972342712,62.5813719093,16.2552870948,63778.4423404715
1767241380000,63786.6961952153,63.8276647454,15.7259321017,63778.9512832747
1767241440000,63787.5290739339,60.1725232981,15.9377688261,63779.1796234122
1767241500000,63788.4798737176,64.9474608048,16.2965566448,63779.8505479666
1767241560000,63789.4753813239,66.7879123604,15.6028680758,63780.3868266927
1767241620000,63790.5145574358,68.5468916445,15.1204723089,63780.7781628087
1767241680000,63791.5691279010,69.3856447225,15.9130349251,63781.0930787965
1767241740000,63792.7301785045,72.9204782820,16.1659300609,63781.6913479269
1767241800000,63793.9905463269,75.7755047602,16.2282702299,63781.9235004066
1767241860000,63795.2665708481,76.4554038228,16.0697218553,63782.5244411716
1767241920000,63796.2953502464,61.0950969224,17.0689668332,63782.8606760030
1767241980000,63797.4658687402,65.8785897732,17.4587207252,63783.1219494048
1767242040000,63798.6396676150,66.3166648641,16.4061599827,63783.4462833552
1767242100000,63799.6701470742,59.1094374833,18.0449703649,63783.6347287775
1767242160000,63800.7988965385,62.7076484602,17.8578966457,63784.2397983210
1767242220000,63801.9064132648,62.1647367645,16.8100510652,63784.9847495229
1767242280000,63803.1264975578,66.0735587507,17.9282748617,63785.7266073131
1767242340000,63804.1565377340,56.9522829521,18.8243651544,63786.1637083906
1767242400000,63805.2616527413,59.8173613744,19.2990534604,63786.9255691085
1767242460000,63806.2138098463,53.4439785511,19.8037280618,63787.0460262033
1767242520000,63807.3073823873,58.5047210926,20.1003689106,63787.6810446214
1767242580000,63808.6461643474,65.3825663019,20.6567415214,63788.1565066764
1767242640000,63809.8031644816,58.5120664783,20.5233566269,63788.6650487352
1767242700000,63810.8868131745,56.1783704413,19.7028219541,63789.0337305379
1767242760000,63811.8869941168,53.4784810292,19.0425369967,63789.5416461601
1767242820000,63813.0597772777,58.8301249719,19.2526734829,63789.8313882906
1767242880000,63814.0846539448,53.8514001861,19.6523775518,63790.2887956815
1767242940000,63815.0598711731,52.4663542487,20.5410602861,63791.0365231254
1767243000000,63816.0842355097,54.3519593095,20.0650648574,63791.2402976013
1767243060000,63816.9633311469,49.4984888098,19.8307247837,63791.5610648151
1767243120000,63817.8477546669,49.9995252689,18.6177622935,63791.9881488547
1767243180000,63818.7921766362,52.4811934248,19.3151552303,63792.3512571132
1767243240000,63819.7003835825,51.4100560086,18.3977827642,63792.8991870988
1767243300000,63820.6291770951,52.5618287322,17.4510196364,63793.3617365822
1767243360000,63821.7325775115,59.0495024455,18.2445707785,63793.8771008496
1767243420000,63823.0444657009,65.1726505306,18.7989082749,63794.1482610297
1767243480000,63824.4127591140,66.8615025365,18.0684238214,63794.5441319027
1767243540000,63825.9588332535,71.0302451459,18.3519451039,63795.3283873991
1767243600000,63827.3978875307,66.7036997068,18.0818412614,63796.3397853608
1767243660000,63828.9078437048,68.6181359116,17.8288148869,63796.6441978900
1767243720000,63830.5198230087,71.0778088255,18.1310586292,63797.6195229341
1767243780000,63832.3514114737,75.2788317163,19.0921217471,63798.3294447249
1767243840000,63834.0296201261,69.0810719470,19.3913697722,63798.9608428336
1767243900000,63835.9146767276,73.0354278896,20.3083777047,63799.6529606409
1767243960000,63837.7440272142,71.4097585266,19.5229414048,63800.3198801478
1767244020000,63839.4146632206,65.4440721481,19.6186523119,63800.7401657201
1767244080000,63841.0406843203,64.2917912002,18.7193387764,63801.2781324598
1767244140000,63842.4767919273,57.5221670489,19.0407990854,63801.9743474611
1767244200000,63843.8145888128,54.5316556451,18.7651210142,63802.6592843631
1767244260000,63845.1718465488,55.5033732880,17.8017081886,63803.1652878062
1767244320000,63846.3920200470,51.0710697602,17.6530181890,63803.6010072998
1767244380000,63847.5433079650,49.1309489181,17.0892868457,63804.1935017741
1767244440000,63848.5943377370,46.1746818048,18.3751965300,63804.6617858492
1767244500000,63849.6597960753,47.1347089921,18.6950685269,63805.2981728381
1767244560000,63850.9354156162,54.8310203328,19.9392024200,63805.6235821092
1767244620000,63852.3117842493,58.1987218694,19.5886931379,63806.3064931701
1767244680000,63853.5189915924,52.4295129231,20.4201423042,63806.7868140002
1767244740000,63854.8092426059,55.3443000886,20.1879196335,63807.2490989987
1767244800000,63856.1525462399,57.2975350281,20.8980117347,63807.9955841846
1767244860000,63857.3231465020,51.4383078859,20.9244204205,63808.5045471175
1767244920000,63858.4940494932,51.8361211547,21.3671469646,63809.0958875231
1767244980000,63859.5397417161,47.8267135488,21.7856244662,63809.6712331747
